business_unit_id,business_unit_name,location_name,department_name,respondents
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Surgical Services Admin 001,2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Total Quality Management,7
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Trauma Services Surgery,3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Ultrasound,7
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Ultrasound 003,10
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Utilization Mgmt 001,2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Vascular Access,1
26012,FLPEN Sacred Heart Hosp Pens,UF OB Residency,Residency OBGYN,1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Administration,5
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Auxiliary,1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Computerized Tomography CT,1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Diagnostic Radiology,2
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Electrocardiography EKG,1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Emergency Department,11
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Materials Management,1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Med Surg Unit,8
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Nuclear Medicine 001,1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Recovery Room,2
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Rehab Services General OP 001,2
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Respiratory Care 001,8
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Surgery,3
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Ultrasound,1
26014,FLPEN Sacred Heart Medical Grp,Bay Gen Surgery & Trauma,Bay General Surgery,4
26014,FLPEN Sacred Heart Medical Grp,Gulf Coast Ortho Specialist,Ortho Hand Center,1
26014,FLPEN Sacred Heart Medical Grp,Gulf Coast Ortho Specialist,Ortho Surgery Group,1
26014,FLPEN Sacred Heart Medical Grp,Gulf Coast Ortho Specialist,Orthopedic Trauma,1
26014,FLPEN Sacred Heart Medical Grp,Pediatrics CMS Bld Bayou Pens,Pediatric Surgery,1
26014,FLPEN Sacred Heart Medical Grp,SHH Gulf,Radiology PSJ,1
26014,FLPEN Sacred Heart Medical Grp,SHH PanamaCty BayMedical,Bay Pulmonology Medicine,1
26014,FLPEN Sacred Heart Medical Grp,SHMG Destin Medical Group,Cardiology Support Destin,1
26014,FLPEN Sacred Heart Medical Grp,SHMG Destin Medical Group,OBGYN Destin,1
26014,FLPEN Sacred Heart Medical Grp,SHMG Pens Blvd,Pensacola Blvd Urgent Care,2
26014,FLPEN Sacred Heart Medical Grp,Sacred Heart Residency,Pediatrics Intensive Care,4
26014,FLPEN Sacred Heart Medical Grp,Sacred Hrt Hosp Pensacola,Cardio Thorasic Surgery Pens,1
26014,FLPEN Sacred Heart Medical Grp,Sacred Hrt Hosp Pensacola,Neuroendovascular Surgery Pens,1
26014,FLPEN Sacred Heart Medical Grp,Sacred Hrt Hosp Pensacola,Neurology Support,1
26014,FLPEN Sacred Heart Medical Grp,Sacred Hrt Hosp Pensacola,Neurosurgery Support,2
26014,FLPEN Sacred Heart Medical Grp,Sacred Hrt Hosp Pensacola,Pediatric Surgery,2
26014,FLPEN Sacred Heart Medical Grp,Sacred Hrt Hosp Pensacola,Trauma Surgery Support,1
26016,FLPEN Sacred Heart Hosp EC,FL - Santa Rosa Beach-Offsite,Other Pat Services Anc 001,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Administration,4
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Anesthesiology,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Auxiliary,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Cardiac Cath Lab,9
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Cardiac Holding Recovery 001,6
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Cardiology Services Admin 001,2
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Case Mgmt,4
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Computerized Tomography CT,6
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Diagnostic Radiology,10
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Electrocardiography EKG,2
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Emergency Department,27
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Float Staffing 001,25
