business_unit_id,location_name,department_name,respondents,dominant_ahca_wa,wa_matched_respondents
26016,SHH Emerald Coast,Magnetic Resonance Imaging MRI,2,21,2
26016,SHH Emerald Coast,Mammography 001,5,21,5
26016,SHH Emerald Coast,Materials Management,6,34,6
26016,SHH Emerald Coast,Med Surg Unit,33,2,33
26016,SHH Emerald Coast,Monitor Room 001,1,15,1
26016,SHH Emerald Coast,Mother Baby Unit 001,15,9,15
26016,SHH Emerald Coast,Neonatal ICU Unit 001,18,11,18
26016,SHH Emerald Coast,Nuclear Medicine 001,1,21,1
26016,SHH Emerald Coast,Nursing Administration,5,24,5
26016,SHH Emerald Coast,Observation Unit 001,7,6,7
26016,SHH Emerald Coast,Other Pat Services Anc 001,4,34,4
26016,SHH Emerald Coast,Pastoral Care Spiritual Care,2,1,2
26016,SHH Emerald Coast,Patient Access Admitting 002,5,9,5
26016,SHH Emerald Coast,Patient Education,1,34,1
26016,SHH Emerald Coast,Patient Education 002,2,9,2
26016,SHH Emerald Coast,Physical Therapy,6,1,6
26016,SHH Emerald Coast,PositronEmissionTomography PET,1,21,1
26016,SHH Emerald Coast,Pre Surgery,12,18,12
26016,SHH Emerald Coast,Recovery Room,24,18,24
26016,SHH Emerald Coast,Rehab Administration 001,1,14,1
26016,SHH Emerald Coast,Rehab Services Ambulatory 001,1,1,1
26016,SHH Emerald Coast,Respiratory Care 001,8,1,8
26016,SHH Emerald Coast,Sterile Processing 001,5,18,5
26016,SHH Emerald Coast,Surgery,40,18,40
26016,SHH Emerald Coast,Surgical Services Admin 001,5,18,5
26016,SHH Emerald Coast,Total Quality Management,5,28,5
26016,SHH Emerald Coast,Ultrasound,11,21,11
26016,SHH Emerald Coast,Wound Care 001,1,1,1
26016,SHH PanamaCty BayMedical,Infection Control,1,1,1
26016,Sacred Hrt Hosp Pensacola,HIM Coding Documentation 001,1,1,1
26042,Bay Beachside,Freestanding ER Dept 001,1,6,1
26042,SHH PanamaCty BayMedical,Administration 142,4,24,4
26042,SHH PanamaCty BayMedical,Anesthesiology 001,1,18,1
26042,SHH PanamaCty BayMedical,Cardiac Holding Recovery 001,6,34,6
26042,SHH PanamaCty BayMedical,Cardiology Services Admin 001,3,34,3
26042,SHH PanamaCty BayMedical,Cardiovascular Unit 001,29,5,29
26042,SHH PanamaCty BayMedical,Case Mgmt,6,23,6
26042,SHH PanamaCty BayMedical,Central Telemetry Monitor 001,7,34,7
26042,SHH PanamaCty BayMedical,Computerized Tomography CT 001,7,21,7
26042,SHH PanamaCty BayMedical,Diagnostic Cardiology Anc 001,2,34,2
26042,SHH PanamaCty BayMedical,Diagnostic Radiology 001,8,21,8
26042,SHH PanamaCty BayMedical,Emergency Department 001,43,6,43
26042,SHH PanamaCty BayMedical,Emergency Services Admin 001,1,6,1
26042,SHH PanamaCty BayMedical,Employee Education 001,1,34,1
26042,SHH PanamaCty BayMedical,Float Staffing 001,2,1,2
26042,SHH PanamaCty BayMedical,Freestanding ER Dept 001,15,6,15
26042,SHH PanamaCty BayMedical,General Lab Anc 001,1,19,1
26042,SHH PanamaCty BayMedical,General Radiology Amb 001,2,6,2
26042,SHH PanamaCty BayMedical,General Radiology Amb 002,1,21,1
26042,SHH PanamaCty BayMedical,HIM Coding Documentation 001,2,27,2
26042,SHH PanamaCty BayMedical,Imaging Admin 001,2,34,2
26042,SHH PanamaCty BayMedical,Infection Control 001,3,28,3
26042,SHH PanamaCty BayMedical,Intensive Care Unit 001,40,8,40
26042,SHH PanamaCty BayMedical,Invasive Cardiology Anc 001,15,34,15
26042,SHH PanamaCty BayMedical,Magnetic Resonance Imaging 001,3,21,3
26042,SHH PanamaCty BayMedical,Materials Management 001,5,34,5
26042,SHH PanamaCty BayMedical,Nurse Education 002,1,6,1
26042,SHH PanamaCty BayMedical,Nursing Administration 001,4,1,4
26042,SHH PanamaCty BayMedical,Observation Unit 007,14,6,14
26042,SHH PanamaCty BayMedical,Ortho Neuro Nrsng Unit 001,46,2,46
26042,SHH PanamaCty BayMedical,Pastoral Spiritual Care 001,4,1,4
26042,SHH PanamaCty BayMedical,Perioperative Care Anc 001,3,18,3
26042,SHH PanamaCty BayMedical,Physical Therapy 001,7,1,7
26042,SHH PanamaCty BayMedical,PreSurgery 001,2,18,2
26042,SHH PanamaCty BayMedical,Recovery Room,6,18,6
26042,SHH PanamaCty BayMedical,Rehab Administration 001,1,1,1
26042,SHH PanamaCty BayMedical,Rehab Services PC,2,14,2
26042,SHH PanamaCty BayMedical,Respiratory Care 001,10,22,10
26042,SHH PanamaCty BayMedical,Stepdown Intermediate Care 001,20,8,20
26042,SHH PanamaCty BayMedical,Sterile Processing 001,7,34,7
26042,SHH PanamaCty BayMedical,Surgery 001,43,18,43
26042,SHH PanamaCty BayMedical,Surgical Services Admin 001,3,18,3
26042,SHH PanamaCty BayMedical,Total Quality Management 001,7,28,7
26042,SHH PanamaCty BayMedical,Trauma Services 001,5,1,5
26042,SHH PanamaCty BayMedical,Ultrasound 001,1,21,1
26042,SHH PanamaCty BayMedical,Volunteer Services 001,1,34,1
52005,ASV Southside Hospital,Acute Rehab Unit 001,17,14,17
52005,ASV Southside Hospital,Administration 005,2,1,2
52005,ASV Southside Hospital,Bariatric Surgical Unit 001,7,2,7
52005,ASV Southside Hospital,Breast Health Services 001,2,21,2
52005,ASV Southside Hospital,Cardiac Cath Labs Anc 001,8,5,8
