name,survey_type,level,parent,work_area,default_expected_respondent_count
Pediatric Support Svcs 001 (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Surg Svcs,
Physical Therapy,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
Pre Surgery,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Recovery Room,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Rehab Administration 001 (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Admin/Mgmt,
Respiratory Care 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
Stepdown Intermediate Care,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Stepdown Intermediate Care 002,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Unknown,
Sterile Processing 001 (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Surgery,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgery Ambulatory 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgical Services Admin 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Total Quality Management,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Quality, Risk Management, PAtient Safety",
Trauma Services Surgery,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Ultrasound,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Radiology/ Imaging,
Ultrasound 003,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Radiology/ Imaging,
Utilization Mgmt 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Vascular Access,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
Residency OBGYN,HSOPS 2.0,Unit,UF OB Residency,Other,
