ascension_code,facility,item,n_answered
52009,St Vincent’s Riverside (St Vincent Medical Center),D2,434
52009,St Vincent’s Riverside (St Vincent Medical Center),D3,579
52009,St Vincent’s Riverside (St Vincent Medical Center),E1,581
52009,St Vincent’s Riverside (St Vincent Medical Center),F1,561
52009,St Vincent’s Riverside (St Vincent Medical Center),F2,552
52009,St Vincent’s Riverside (St Vincent Medical Center),F3,545
52009,St Vincent’s Riverside (St Vincent Medical Center),F4,453
52009,St Vincent’s Riverside (St Vincent Medical Center),F5,439
52009,St Vincent’s Riverside (St Vincent Medical Center),F6,447
52009,St Vincent’s Riverside (St Vincent Medical Center),G1,577
52009,St Vincent’s Riverside (St Vincent Medical Center),G2,577
52009,St Vincent’s Riverside (St Vincent Medical Center),G3,577
52009,St Vincent’s Riverside (St Vincent Medical Center),G4,577
52009,St Vincent’s Riverside (St Vincent Medical Center),H1,575
52009,St Vincent’s Riverside (St Vincent Medical Center),H2,575
52012,St Vincent’s Clay County,SP,490
52012,St Vincent’s Clay County,WA,489
52012,St Vincent’s Clay County,A1,485
52012,St Vincent’s Clay County,A2,481
52012,St Vincent’s Clay County,A3,467
52012,St Vincent’s Clay County,A4,474
52012,St Vincent’s Clay County,A5,473
52012,St Vincent’s Clay County,A6,468
52012,St Vincent’s Clay County,A7,460
52012,St Vincent’s Clay County,A8,481
52012,St Vincent’s Clay County,A9,475
52012,St Vincent’s Clay County,A10,476
52012,St Vincent’s Clay County,A11,471
52012,St Vincent’s Clay County,A12,462
52012,St Vincent’s Clay County,A13,459
52012,St Vincent’s Clay County,A14,465
52012,St Vincent’s Clay County,B1,475
52012,St Vincent’s Clay County,B2,481
52012,St Vincent’s Clay County,B3,471
52012,St Vincent’s Clay County,C1,456
52012,St Vincent’s Clay County,C2,460
52012,St Vincent’s Clay County,C3,451
52012,St Vincent’s Clay County,C4,466
52012,St Vincent’s Clay County,C5,399
52012,St Vincent’s Clay County,C6,435
52012,St Vincent’s Clay County,C7,457
52012,St Vincent’s Clay County,D1,361
52012,St Vincent’s Clay County,D2,371
52012,St Vincent’s Clay County,D3,475
52012,St Vincent’s Clay County,E1,479
52012,St Vincent’s Clay County,F1,470
52012,St Vincent’s Clay County,F2,469
52012,St Vincent’s Clay County,F3,463
52012,St Vincent’s Clay County,F4,411
52012,St Vincent’s Clay County,F5,392
52012,St Vincent’s Clay County,F6,398
52012,St Vincent’s Clay County,G1,474
52012,St Vincent’s Clay County,G2,474
52012,St Vincent’s Clay County,G3,475
52012,St Vincent’s Clay County,G4,475
52012,St Vincent’s Clay County,H1,474
52012,St Vincent’s Clay County,H2,473
52015,St Vincent’s St John’s County,SP,206
52015,St Vincent’s St John’s County,WA,206
52015,St Vincent’s St John’s County,A1,206
52015,St Vincent’s St John’s County,A2,206
52015,St Vincent’s St John’s County,A3,201
52015,St Vincent’s St John’s County,A4,204
52015,St Vincent’s St John’s County,A5,200
52015,St Vincent’s St John’s County,A6,203
52015,St Vincent’s St John’s County,A7,198
