business_unit_id,business_unit_name,location_name,department_name,respondents,dominant_ahca_wa,wa_label,domain_code,wa_purity,distinct_wa_codes
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Magnetic Resonance Imaging MRI,7,21,Radiology/ Imaging,RADI,100%,21:7
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Materials Management,7,34,Other,,57%,34:4 1:2 4:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Monitor Room 001,10,15,Telemetry,TELE,90%,15:9 34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Mother Baby Unit 001,23,9,Labor & Deliv/Ob,,83%,9:19 34:4
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neonatal ICU,1,11,"Peds, NICU, PICU",PEDS,100%,11:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neonatal ICU Unit 002,3,11,"Peds, NICU, PICU",PEDS,100%,11:3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neuro Science Unit,32,2,"Med/Surg, Other Pt. Care Units",MSRG,63%,2:20 34:6 3:3 4:3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neuro Support Svcs 001,2,1,"Many Different Hospital Units, No Specific Unit",,100%,1:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neuro Trauma ICU 001,38,8,ICU(All Adult Types),ICU,97%,8:37 1:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nuclear Medicine 001,1,21,Radiology/ Imaging,RADI,100%,21:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nurse Staffing 001,7,1,"Many Different Hospital Units, No Specific Unit",,71%,1:5 34:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nursing Administration,6,24,Admin/Mgmt,ADMN,67%,24:4 2:1 1:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nursing Unit 001,32,2,"Med/Surg, Other Pt. Care Units",MSRG,66%,2:21 4:8 3:3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nursing Unit 002,21,2,"Med/Surg, Other Pt. Care Units",MSRG,38%,2:8 3:8 4:3 34:1 13:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,OB High Risk Unit 001,24,9,Labor & Deliv/Ob,,88%,9:21 2:1 18:1 34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Observation,11,6,ED/Short Stay,EDPT,73%,6:8 18:3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Observation Unit 002,40,6,ED/Short Stay,EDPT,70%,6:28 2:6 3:3 1:2 4:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Observation Unit 003,8,6,ED/Short Stay,EDPT,50%,6:4 11:4
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Oncology Unit 001,38,10,"Oncology, Hematology",,87%,10:33 2:5
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Orthopedics Unit 001,19,4,Surg Svcs,SVCS,37%,4:7 2:7 34:4 11:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Ostomy 001,4,1,"Many Different Hospital Units, No Specific Unit",,100%,1:4
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pastoral Care Spiritual Care,2,34,Other,,50%,34:1 1:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pat Ed Womens and Childrens,4,1,"Many Different Hospital Units, No Specific Unit",,50%,1:2 9:1 34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pediatric Support Svcs 001,1,4,Surg Svcs,SVCS,100%,4:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Physical Therapy,28,1,"Many Different Hospital Units, No Specific Unit",,89%,1:25 14:2 6:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pre Surgery,10,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,60%,18:6 34:2 16:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Recovery Room,20,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,95%,18:19 4:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Rehab Administration 001,2,24,Admin/Mgmt,ADMN,50%,24:1 14:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Respiratory Care 001,24,1,"Many Different Hospital Units, No Specific Unit",,58%,1:14 22:7 6:2 8:1
